#separator:tab
#html:false
#columns:용어	영문	한줄정의	상세설명	사례	고리	혼동용어	출제형태	위치	태그
플랫폼 성능 특성 분석	Platform Performance	현행 플랫폼의 응답시간·가용성·사용률을 측정해 목표 수준을 정하는 활동	측정 항목은 경과 시간(Turnaround Time), 사용률(Utilization), 응답 시간(Response Time), 가용성(Availability) 네 가지다. 사용자 인터뷰·성능 테스트·산출물 점검으로 수집한다.	신규 쇼핑몰을 만들기 전 기존 몰의 평균 응답 0.8초·피크 사용률 70%를 재어 목표를 세운다.	네 가지는 경·사·응·가 — 경과 시간, 사용률, 응답 시간, 가용성.	응답 시간 / 처리량 / 가용성	네 가지 측정 항목을 나열하고 아닌 것을 고르게 한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
응답 시간	Response Time	요청을 보낸 순간부터 첫 응답이 오기까지의 시간	응답 시간은 첫 반응까지, 경과 시간(Turnaround Time)은 작업이 완전히 끝나기까지의 시간이다. 둘을 바꿔 서술하는 문제가 나온다.	앱에서 검색 버튼을 누르고 첫 결과가 뜨기까지 0.3초, 이게 응답 시간이다.	응답은 「대답 시작」, 경과는 「일 끝」.	경과 시간 / 처리량	응답 시간과 경과 시간의 정의를 서로 바꿔 제시한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
경과 시간	Turnaround Time	작업을 의뢰한 시점부터 완전히 완료될 때까지의 총 시간	반환 시간이라고도 한다. 응답 시간보다 항상 길다. 스케줄링 성능 평가에서도 같은 용어가 쓰인다.	대용량 정산 배치를 밤 11시에 걸고 새벽 2시에 끝나면 경과 시간은 3시간이다.	반환(Turnaround) = 갔다가 돌아오기까지 전부.	응답 시간 / 처리량	응답 시간과의 구별.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
처리량	Throughput	단위 시간당 처리할 수 있는 작업의 양	초당 트랜잭션 수(TPS)처럼 표현한다. 응답 시간이 짧아도 처리량이 낮을 수 있어 별개 지표다.	카드 결제 서버가 초당 3,000건을 처리한다면 처리량이 3,000 TPS다.	처리량은 「양」, 응답 시간은 「빠름」. 빨라도 양이 적을 수 있다.	응답 시간 / 가용성	성능 측정 지표 4종 중 하나로 출제.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
가용성	Availability	시스템을 정상적으로 사용할 수 있는 시간의 비율	MTBF ÷ (MTBF + MTTR) 로 계산한다. 정보보안 3요소의 가용성과 같은 단어이나, 여기서는 성능 지표로 쓰인다.	연간 5분만 멈추는 은행 시스템은 가용성 99.999%(파이브 나인)다.	가용 = 「쓸 수 있는 상태」. 고장 간격이 길고 수리가 짧아야 높다.	무결성 / 기밀성 / 고가용성	보안 3요소의 가용성과 성능 지표의 가용성을 구별하게 만든다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1 오답노트출처
미들웨어	Middleware	운영체제와 응용 프로그램 사이에서 서비스를 제공하는 소프트웨어	종류에는 DB 접속용 미들웨어, RPC, MOM(메시지 지향), TP-Monitor(트랜잭션 처리), ORB(객체 요청 브로커), WAS가 있다.	웹 화면과 오라클 DB 사이에 톰캣이 끼어 있는 구조에서 톰캣이 미들웨어다.	중간(Middle)에 끼어 서비스를 중개하는 소프트웨어.	WAS / RPC / MOM / TP-Monitor / ORB	미들웨어 솔루션 종류를 나열하고 아닌 것을 고르게 한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
WAS	Web Application Server	동적 콘텐츠 처리를 위해 웹서버와 DB 사이에서 동작하는 미들웨어	정적 파일은 웹서버(Apache, Nginx)가, 동적 처리는 WAS(Tomcat, JEUS, WebLogic)가 담당한다. 트랜잭션·보안·DB 커넥션 풀을 관리한다.	정적 이미지는 Nginx가, 로그인 처리와 DB 조회는 Tomcat이 맡는 흔한 2단 구성.	웹서버는 「파일 배달」, WAS는 「일 처리」.	웹서버 / 미들웨어 / TP-Monitor	웹서버와 WAS의 역할을 바꿔 서술한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
RPC	Remote Procedure Call	원격 프로시저를 로컬 함수처럼 호출하게 해 주는 미들웨어	호출한 쪽은 응답을 기다리는 동기 방식이 기본이다. 비동기 메시지 전달은 MOM이 담당한다.	다른 서버의 함수를 gRPC로 부르고 결과를 기다리는 MSA 내부 통신.	Remote를 Local처럼 Call. 부르고 답을 기다리는 동기.	MOM / ORB / API	동기/비동기 방식을 바꿔 서술한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
MOM	Message Oriented Middleware	메시지 기반의 비동기형 메시지 전달을 지원하는 미들웨어	송신자와 수신자가 동시에 살아 있지 않아도 되는 느슨한 결합을 제공한다. 즉시 응답이 필요 없는 일괄 작업, 대량 데이터 처리에 적합하다.	주문이 들어오면 Kafka에 메시지를 쌓아 두고 정산 서버가 나중에 꺼내 처리한다.	우체통에 넣고 가면 끝 — 받는 쪽이 지금 없어도 된다.	RPC / TP-Monitor / Message Bus	비동기 메시지 = MOM 이라는 대응을 묻는다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
TP-Monitor	Transaction Processing Monitor	항공 예약처럼 트랜잭션을 처리·감시하는 미들웨어	사용자 수가 증가해도 빠른 응답을 유지해야 하는 업무에 사용한다. 트랜잭션이라는 단어가 나오면 TP-Monitor다.	항공권 예약처럼 초당 수천 건이 몰려도 순서와 정합성을 지켜야 하는 시스템의 심장.	Transaction이 이름에 있으면 TP-Monitor.	MOM / WAS / ORB	미들웨어 5종 중 트랜잭션 담당을 고르게 한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
ORB	Object Request Broker	코바(CORBA) 표준 스펙을 구현한 객체 요청 브로커 미들웨어	객체 지향 미들웨어로 분산 객체 간 메시지를 중계한다. 최근에는 TP-Monitor의 기능을 흡수한 제품도 있다.	옛 금융권 분산 시스템에서 CORBA로 객체를 주고받던 미들웨어.	Object Request Broker — 객체 주문을 받아 중개하는 브로커.	RPC / MOM / CORBA	객체 지향 미들웨어를 고르게 한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
DBMS 분석	Database Management System 분석	현행 DBMS의 가용성·성능·상호 호환성·기술 지원·구축 비용을 검토하는 활동	분석 항목 다섯 가지를 묻는다. 여기서 상호 호환성은 운영체제·응용 프로그램과의 연계 가능성을 뜻한다.	오라클에서 PostgreSQL로 갈지 정할 때 성능·호환성·기술지원·비용을 표로 비교한다.	가·성·상·기·구 — 가용성, 성능, 상호 호환성, 기술 지원, 구축 비용.	플랫폼 성능 특성 분석 / 비즈니스 융합	분석 고려사항 5종 나열형.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
비즈니스 융합	Business Convergence	서로 다른 산업·기술을 결합해 새로운 가치를 만드는 활동	현행 시스템 분석 단계에서 융합 대상 업무와 기술을 식별한다. 핀테크, 스마트팩토리 등이 예시로 나온다.	편의점 결제에 금융을 붙인 간편결제, 공장에 IoT를 붙인 스마트팩토리.	서로 다른 산업이 합쳐져 새 서비스가 되는 것.	DBMS 분석	현행 시스템 분석의 구성 요소 나열형.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
웹서버	Web Server	HTTP 요청을 받아 정적 콘텐츠를 응답하는 서버 소프트웨어	Apache, Nginx, IIS가 대표적이다. 동적 처리는 WAS가 담당하므로 역할이 다르다. 기능은 HTTP 처리, 통신 기록, 정적 파일 관리, 대역폭 제한이다.	Nginx가 이미지·CSS를 그대로 내려 주고 동적 요청만 뒤로 넘긴다.	서버 이름이 「웹」이면 파일 배달, 「애플리케이션」이 붙으면 일 처리.	WAS / 미들웨어 / HTTP	웹서버와 WAS의 역할을 바꿔 서술한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
FEP	Front End Processor (전처리기)	입력되는 데이터를 프로세서가 처리하기 전에 미리 처리해 프로세서의 처리 시간을 줄여 주는 프로그램이나 하드웨어	전처리기라고 한다. 프로세서 앞단에서 먼저 처리한다는 뜻이다. EAI(연계 솔루션), GPL(오픈소스 라이선스), Duplexing(이중화)과 함께 선택지로 나와 헷갈린다.	카드 단말기에서 올라온 전문을 앞단 장비가 미리 정리해 승인 서버 부담을 줄인다.	Front End — 맨 앞에서 미리 처리해 주는 문지기.	EAI / 미들웨어 / 웹서버	전처리기 설명을 주고 약어를 고르게 한다. 오답 선택지로 EAI, GPL, Duplexing이 붙는다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1 오답노트출처
GPL	GNU General Public License	소스 코드 공개와 동일 라이선스 배포를 요구하는 대표적인 오픈소스 라이선스	파생 저작물도 같은 라이선스를 따라야 한다(카피레프트). FEP 문항의 오답 선택지로 나온다.	리눅스 커널이 GPL이라 이를 고쳐 배포하면 소스도 함께 공개해야 한다.	공개(Public)한 것을 계속 공개하게 만드는 라이선스.	FEP / Linux	라이선스 종류로 출제되거나 FEP 문항의 오답이 된다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
Duplexing	Duplexing	같은 장비나 경로를 두 벌 운영해 장애에 대비하는 이중화 기법	디스크뿐 아니라 컨트롤러까지 이중화하는 것을 뜻한다. FEP 문항의 오답 선택지로 나온다.	디스크만 두 벌이 아니라 컨트롤러까지 두 벌로 깔아 한쪽이 죽어도 버틴다.	Duplex = 두 겹. 장비를 두 벌 두는 이중화.	고가용성 / 데이터베이스 이중화 / FEP	이중화 개념과 FEP 문항의 오답으로 출제.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_용어 과목1 챕터_1_1
요구공학	Requirements Engineering	요구사항을 도출·분석·명세·확인·관리하는 체계적 활동 전체	순서는 도출(Elicitation) → 분석(Analysis) → 명세(Specification) → 확인(Validation) → 관리(Management)다. 이 순서를 뒤섞어 내는 문제가 잦다.	「배송 조회 기능이 필요하다」는 말을 문서와 화면 정의까지 끌고 가는 전 과정.	도-분-명-확-관 : 도출, 분석, 명세, 확인, 관리.	요구사항 도출 / 요구사항 명세 / 요구사항 확인	5단계 순서를 물어본다. 도출-분석-명세-확인 순.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
기능 요구사항	Functional Requirements	시스템이 무엇을 해야 하는지에 관한 요구사항	입력·출력, 저장할 데이터, 수행할 연산처럼 동작 자체를 규정한다. 반드시 검증 가능해야 한다.	「회원은 주문 내역을 최근 3개월까지 조회할 수 있다」처럼 동작을 규정한다.	기능은 「무엇을 한다」.	비기능 요구사항	기능/비기능 예시를 섞어 분류하게 한다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
비기능 요구사항	Non-functional Requirements	시스템이 어떻게 동작해야 하는지, 즉 품질·제약에 관한 요구사항	성능, 보안, 가용성, 신뢰성, 사용성, 이식성, 인터페이스, 장비 구성처럼 품질 특성과 제약사항이 여기 속한다.	「주문 조회는 2초 이내」, 「비밀번호는 암호화 저장」처럼 품질과 제약을 규정한다.	비기능은 「어떻게 잘 한다」 — 성능·보안·가용성.	기능 요구사항 / ISO/IEC 9126	성능·보안이 비기능이라는 점을 묻는다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
요구사항 도출	Elicitation	이해관계자로부터 요구사항을 수집하는 단계	기법은 인터뷰, 설문, 브레인스토밍, 워크숍, 프로토타이핑, 유스케이스, 문서 분석, 관찰이다. 이해관계자를 식별하는 것이 시작이다.	현업 담당자 인터뷰와 기존 화면 관찰로 「엑셀로 하던 정산을 자동화하고 싶다」를 캐낸다.	도출 = 캐내기. 인터뷰·설문·워크숍·프로토타이핑.	요구사항 분석 / 프로토타이핑 / 브레인스토밍	도출 기법 나열형.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
요구사항 분석	Analysis	도출된 요구사항의 모순·중복·누락을 찾아 조정하고 우선순위를 정하는 단계	분석 도구로 자료 흐름도(DFD), 자료 사전(DD), 소단위 명세서, 개체 관계도, 상태 전이도를 쓴다.	「빠르게」라는 요구를 「3초 이내」로 바꾸고 서로 충돌하는 요구의 우선순위를 정한다.	모순·중복·누락을 걸러 우선순위를 매기는 단계.	요구사항 도출 / 요구사항 명세 / 자료 흐름도	분석 단계에서 쓰는 도구를 묻는다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
요구사항 명세	Specification	분석된 요구사항을 정형·비정형 문서로 기록하는 단계	비정형 명세는 자연어 중심(사용자 관점, 일관성 확보 어려움), 정형 명세는 수학적 표기(VDM, Z, Petri-net) 중심으로 명확하나 이해가 어렵다.	요구사항 정의서에 ID를 붙여 「REQ-014 주문 조회」처럼 문서로 확정한다.	명세 = 문서로 못 박기.	정형 명세 기법 / 비정형 명세 기법	정형/비정형의 장단점을 바꿔 서술한다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
정형 명세 기법	Formal Specification	수학적 원리·모델에 기반해 요구사항을 기술하는 방법	Z, VDM, Petri-net, CSP가 대표적이다. 명확하고 검증이 가능하나 이해하기 어렵고 작성 비용이 높다.	철도 신호 제어처럼 오류가 곧 사고인 시스템에서 Z 표기법으로 논리를 증명한다.	수학으로 쓰면 정형. Z·VDM·페트리넷.	비정형 명세 기법	기법 이름과 성격을 바꿔 낸다. Z와 VDM은 정형이다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
