#separator:tab
#html:false
#columns:짝	용어A	정의A	상세A	사례A	용어B	정의B	상세B	사례B	함정	위치	태그
경과 시간 vs 응답 시간	경과 시간	작업을 의뢰한 시점부터 완전히 완료될 때까지의 총 시간	반환 시간이라고도 한다. 응답 시간보다 항상 길다. 스케줄링 성능 평가에서도 같은 용어가 쓰인다.	대용량 정산 배치를 밤 11시에 걸고 새벽 2시에 끝나면 경과 시간은 3시간이다.	응답 시간	요청을 보낸 순간부터 첫 응답이 오기까지의 시간	응답 시간은 첫 반응까지, 경과 시간(Turnaround Time)은 작업이 완전히 끝나기까지의 시간이다. 둘을 바꿔 서술하는 문제가 나온다.	앱에서 검색 버튼을 누르고 첫 결과가 뜨기까지 0.3초, 이게 응답 시간이다.	응답 시간과의 구별. | 응답 시간과 경과 시간의 정의를 서로 바꿔 제시한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
응답 시간 vs 처리량	응답 시간	요청을 보낸 순간부터 첫 응답이 오기까지의 시간	응답 시간은 첫 반응까지, 경과 시간(Turnaround Time)은 작업이 완전히 끝나기까지의 시간이다. 둘을 바꿔 서술하는 문제가 나온다.	앱에서 검색 버튼을 누르고 첫 결과가 뜨기까지 0.3초, 이게 응답 시간이다.	처리량	단위 시간당 처리할 수 있는 작업의 양	초당 트랜잭션 수(TPS)처럼 표현한다. 응답 시간이 짧아도 처리량이 낮을 수 있어 별개 지표다.	카드 결제 서버가 초당 3,000건을 처리한다면 처리량이 3,000 TPS다.	응답 시간과 경과 시간의 정의를 서로 바꿔 제시한다. | 성능 측정 지표 4종 중 하나로 출제.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
가용성 vs 무결성	가용성	시스템을 정상적으로 사용할 수 있는 시간의 비율	MTBF ÷ (MTBF + MTTR) 로 계산한다. 정보보안 3요소의 가용성과 같은 단어이나, 여기서는 성능 지표로 쓰인다.	연간 5분만 멈추는 은행 시스템은 가용성 99.999%(파이브 나인)다.	무결성	시스템 내의 정보는 오직 인가된 사용자만 수정할 수 있다는 보안 요소	수정 권한에 관한 것이다. 합법적 사용자인지 확인하는 것은 인증이므로 다르다.	급여 데이터를 인사팀만 「고칠 수 있게」 한다.	보안 3요소의 가용성과 성능 지표의 가용성을 구별하게 만든다. | 무결성 문제에서 인증의 설명을 오답으로 제시한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
가용성 vs 기밀성	가용성	시스템을 정상적으로 사용할 수 있는 시간의 비율	MTBF ÷ (MTBF + MTTR) 로 계산한다. 정보보안 3요소의 가용성과 같은 단어이나, 여기서는 성능 지표로 쓰인다.	연간 5분만 멈추는 은행 시스템은 가용성 99.999%(파이브 나인)다.	기밀성	시스템 내의 정보와 자원은 인가된 사용자에게만 접근이 허용된다는 보안 요소	접근·열람 가능 여부에 관한 것이다. 무결성(수정)과 구별해야 한다.	급여 데이터를 인사팀만 「볼 수 있게」 한다.	보안 3요소의 가용성과 성능 지표의 가용성을 구별하게 만든다. | 접근(기밀성)과 수정(무결성)을 바꿔 낸다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
가용성 vs 고가용성	가용성	시스템을 정상적으로 사용할 수 있는 시간의 비율	MTBF ÷ (MTBF + MTTR) 로 계산한다. 정보보안 3요소의 가용성과 같은 단어이나, 여기서는 성능 지표로 쓰인다.	연간 5분만 멈추는 은행 시스템은 가용성 99.999%(파이브 나인)다.	고가용성	시스템이 장애 없이 오랫동안 정상 운영되는 능력	Hot Standby(즉시 대기), Mutual Take-Over(상호 인수), Concurrent Access(동시 접근) 방식이 있다. 가용성 = MTBF ÷ (MTBF + MTTR)이다.	장애가 나면 30초 안에 대기 서버로 넘어가 서비스가 끊기지 않는다.	보안 3요소의 가용성과 성능 지표의 가용성을 구별하게 만든다. | 가용성 계산식과 구성 방식을 묻는다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
WAS vs 미들웨어	WAS	동적 콘텐츠 처리를 위해 웹서버와 DB 사이에서 동작하는 미들웨어	정적 파일은 웹서버(Apache, Nginx)가, 동적 처리는 WAS(Tomcat, JEUS, WebLogic)가 담당한다. 트랜잭션·보안·DB 커넥션 풀을 관리한다.	정적 이미지는 Nginx가, 로그인 처리와 DB 조회는 Tomcat이 맡는 흔한 2단 구성.	미들웨어	운영체제와 응용 프로그램 사이에서 서비스를 제공하는 소프트웨어	종류에는 DB 접속용 미들웨어, RPC, MOM(메시지 지향), TP-Monitor(트랜잭션 처리), ORB(객체 요청 브로커), WAS가 있다.	웹 화면과 오라클 DB 사이에 톰캣이 끼어 있는 구조에서 톰캣이 미들웨어다.	웹서버와 WAS의 역할을 바꿔 서술한다. | 미들웨어 솔루션 종류를 나열하고 아닌 것을 고르게 한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
WAS vs 웹서버	WAS	동적 콘텐츠 처리를 위해 웹서버와 DB 사이에서 동작하는 미들웨어	정적 파일은 웹서버(Apache, Nginx)가, 동적 처리는 WAS(Tomcat, JEUS, WebLogic)가 담당한다. 트랜잭션·보안·DB 커넥션 풀을 관리한다.	정적 이미지는 Nginx가, 로그인 처리와 DB 조회는 Tomcat이 맡는 흔한 2단 구성.	웹서버	HTTP 요청을 받아 정적 콘텐츠를 응답하는 서버 소프트웨어	Apache, Nginx, IIS가 대표적이다. 동적 처리는 WAS가 담당하므로 역할이 다르다. 기능은 HTTP 처리, 통신 기록, 정적 파일 관리, 대역폭 제한이다.	Nginx가 이미지·CSS를 그대로 내려 주고 동적 요청만 뒤로 넘긴다.	웹서버와 WAS의 역할을 바꿔 서술한다. | 웹서버와 WAS의 역할을 바꿔 서술한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
TP-Monitor vs WAS	TP-Monitor	항공 예약처럼 트랜잭션을 처리·감시하는 미들웨어	사용자 수가 증가해도 빠른 응답을 유지해야 하는 업무에 사용한다. 트랜잭션이라는 단어가 나오면 TP-Monitor다.	항공권 예약처럼 초당 수천 건이 몰려도 순서와 정합성을 지켜야 하는 시스템의 심장.	WAS	동적 콘텐츠 처리를 위해 웹서버와 DB 사이에서 동작하는 미들웨어	정적 파일은 웹서버(Apache, Nginx)가, 동적 처리는 WAS(Tomcat, JEUS, WebLogic)가 담당한다. 트랜잭션·보안·DB 커넥션 풀을 관리한다.	정적 이미지는 Nginx가, 로그인 처리와 DB 조회는 Tomcat이 맡는 흔한 2단 구성.	미들웨어 5종 중 트랜잭션 담당을 고르게 한다. | 웹서버와 WAS의 역할을 바꿔 서술한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
MOM vs RPC	MOM	메시지 기반의 비동기형 메시지 전달을 지원하는 미들웨어	송신자와 수신자가 동시에 살아 있지 않아도 되는 느슨한 결합을 제공한다. 즉시 응답이 필요 없는 일괄 작업, 대량 데이터 처리에 적합하다.	주문이 들어오면 Kafka에 메시지를 쌓아 두고 정산 서버가 나중에 꺼내 처리한다.	RPC	원격 프로시저를 로컬 함수처럼 호출하게 해 주는 미들웨어	호출한 쪽은 응답을 기다리는 동기 방식이 기본이다. 비동기 메시지 전달은 MOM이 담당한다.	다른 서버의 함수를 gRPC로 부르고 결과를 기다리는 MSA 내부 통신.	비동기 메시지 = MOM 이라는 대응을 묻는다. | 동기/비동기 방식을 바꿔 서술한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
ORB vs RPC	ORB	코바(CORBA) 표준 스펙을 구현한 객체 요청 브로커 미들웨어	객체 지향 미들웨어로 분산 객체 간 메시지를 중계한다. 최근에는 TP-Monitor의 기능을 흡수한 제품도 있다.	옛 금융권 분산 시스템에서 CORBA로 객체를 주고받던 미들웨어.	RPC	원격 프로시저를 로컬 함수처럼 호출하게 해 주는 미들웨어	호출한 쪽은 응답을 기다리는 동기 방식이 기본이다. 비동기 메시지 전달은 MOM이 담당한다.	다른 서버의 함수를 gRPC로 부르고 결과를 기다리는 MSA 내부 통신.	객체 지향 미들웨어를 고르게 한다. | 동기/비동기 방식을 바꿔 서술한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
