#separator:tab
#html:false
#columns:약어	풀네임	한줄정의	사례	위치	태그
WAS	Web Application Server	동적 콘텐츠 처리를 위해 웹서버와 DB 사이에서 동작하는 미들웨어	정적 이미지는 Nginx가, 로그인 처리와 DB 조회는 Tomcat이 맡는 흔한 2단 구성.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_약어 과목1
RPC	Remote Procedure Call	원격 프로시저를 로컬 함수처럼 호출하게 해 주는 미들웨어	다른 서버의 함수를 gRPC로 부르고 결과를 기다리는 MSA 내부 통신.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_약어 과목1
MOM	Message Oriented Middleware	메시지 기반의 비동기형 메시지 전달을 지원하는 미들웨어	주문이 들어오면 Kafka에 메시지를 쌓아 두고 정산 서버가 나중에 꺼내 처리한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_약어 과목1
TP-Monitor	Transaction Processing Monitor	항공 예약처럼 트랜잭션을 처리·감시하는 미들웨어	항공권 예약처럼 초당 수천 건이 몰려도 순서와 정합성을 지켜야 하는 시스템의 심장.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_약어 과목1
ORB	Object Request Broker	코바(CORBA) 표준 스펙을 구현한 객체 요청 브로커 미들웨어	옛 금융권 분산 시스템에서 CORBA로 객체를 주고받던 미들웨어.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_약어 과목1
FEP	Front End Processor (전처리기)	입력되는 데이터를 프로세서가 처리하기 전에 미리 처리해 프로세서의 처리 시간을 줄여 주는 프로그램이나 하드웨어	카드 단말기에서 올라온 전문을 앞단 장비가 미리 정리해 승인 서버 부담을 줄인다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_약어 과목1
GPL	GNU General Public License	소스 코드 공개와 동일 라이선스 배포를 요구하는 대표적인 오픈소스 라이선스	리눅스 커널이 GPL이라 이를 고쳐 배포하면 소스도 함께 공개해야 한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_약어 과목1
UML	Unified Modeling Language	객체지향 시스템 설계를 시각적으로 표현하는 표준 모델링 언어	설계 문서에 클래스도와 시퀀스도를 그려 신규 입사자가 구조를 파악하게 한다.	1-3 UML (1과목)	유형_약어 과목1
XP	eXtreme Programming	짧은 개발 주기를 반복하며 고객 참여와 소통을 극대화하는 애자일 방법론	짝 프로그래밍과 테스트 우선 작성을 규칙으로 삼고 1~2주마다 릴리즈한다.	1-4 애자일 방법론 (1과목)	유형_약어 과목1
HIPO	Hierarchy Input Process Output	시스템의 입력·처리·출력을 계층적으로 나타낸 하향식 설계 도구	시스템 기능을 「1. 주문 / 1.1 접수 / 1.2 취소」처럼 계층 목차로 정리한다.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_약어 과목1
CLI	Command Line Interface	명령과 결과를 텍스트로 주고받는 사용자 인터페이스	서버에서 git commit, docker ps 처럼 명령을 타이핑해 결과를 글자로 받는다.	1-6 UI 설계 (1과목)	유형_약어 과목1
GUI	Graphical User Interface	아이콘·메뉴를 마우스로 선택해 조작하는 그래픽 인터페이스	윈도우 탐색기에서 파일을 마우스로 끌어다 옮긴다.	1-6 UI 설계 (1과목)	유형_약어 과목1
NUI	Natural User Interface	사용자의 말이나 행동(제스처)으로 기기를 조작하는 인터페이스	아이폰에서 두 손가락으로 사진을 확대(Pinch)하고 옆으로 튕겨(Flick) 넘긴다.	1-6 UI 설계 (1과목)	유형_약어 과목1
OUI	Organic User Interface	모든 사물이 입출력 장치가 되는 유기적 인터페이스	옷·책상 같은 사물 자체가 화면이자 입력 장치가 되는 형태.	1-6 UI 설계 (1과목)	유형_약어 과목1
VUI	Voice User Interface	음성으로 기기를 조작하는 인터페이스	「하이 빅스비, 알람 7시」처럼 말로만 조작한다.	1-6 UI 설계 (1과목)	유형_약어 과목1
SOLID	SOLID Principles	객체지향 설계 5원칙의 머리글자를 모은 약어	코드 리뷰 체크리스트에 다섯 원칙을 넣고 위반 지점을 지적한다.	1-8 객체지향 설계 (1과목)	유형_약어 과목1
EAI	Enterprise Application Integration	기업 내 각종 애플리케이션과 플랫폼 간 정보 전달·연계·통합을 가능하게 하는 솔루션	ERP·CRM·회계 시스템을 한 솔루션으로 묶어 데이터를 주고받게 한다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
Message Bus	Message Bus, ESB	애플리케이션 사이에 미들웨어 버스를 두어 처리하는 EAI 구축 유형	Kafka 를 버스로 놓고 모든 시스템이 붙어 대용량 이벤트를 흘려보낸다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
ESB	Enterprise Service Bus	애플리케이션 간 연계, 데이터 변환, 웹서비스 지원 등 표준 기반 인터페이스를 제공하는 솔루션	표준 인터페이스로 프로토콜 변환·라우팅·데이터 변환을 대신 해 주는 미들웨어.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
SOAP	Simple Object Access Protocol	HTTP·HTTPS·SMTP 등을 통해 XML 기반 메시지를 교환하는 웹 서비스 프로토콜	구형 금융권 대외계에서 XML 봉투에 담아 전문을 주고받는다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
WSDL	Web Services Description Language	웹 서비스의 기능·위치·호출 방법을 XML로 기술한 언어	서비스의 함수 이름·파라미터·주소를 XML 명세로 공개한다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
UDDI	Universal Description, Discovery and Integration	웹 서비스를 등록하고 검색할 수 있게 하는 저장소 표준	웹 서비스를 등록해 두고 필요한 사람이 검색해 찾아가는 전화번호부.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
REST	Representational State Transfer	HTTP 메소드(GET, POST, PUT, DELETE)로 자원을 조작하는 웹 서비스 아키텍처 스타일	GET /orders/1001, DELETE /orders/1001 처럼 URL과 HTTP 메소드로 자원을 다룬다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
JSON	JavaScript Object Native, JavaScript Object Notation	속성-값 쌍으로 이루어진 경량 데이터 교환 형식	{"id":1001,"amount":52000} — 요즘 API 응답의 사실상 표준.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
XML	eXtensible Markup Language	특수한 목적을 갖는 마크업 언어를 만드는 데 사용하는 다목적 마크업 언어	전자세금계산서·EDI 처럼 규격이 엄격한 문서 교환에 아직 쓰인다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
AJAX	Asynchronous JavaScript and XML	자바스크립트로 서버와 비동기 통신해 화면 일부만 갱신하는 기술	댓글을 달면 페이지 전체가 아니라 댓글 목록만 새로 그려진다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
CORBA	Common Object Request Broker Architecture	OMG가 정의한 분산 객체 통신 표준 규격	1990년대 분산 객체 표준 — 이를 구현한 미들웨어가 ORB다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
HTML	HyperText Markup Language	웹 문서의 구조를 표현하는 마크업 언어	제목 처럼 정해진 태그로 문서 구조를 표현한다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
SGML	Standard Generalized Markup Language	마크업 언어를 정의하기 위한 상위 표준 언어	HTML과 XML이 여기서 갈라져 나온 상위 표준.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_약어 과목1
ORM	Object-Relational Mapping	객체와 관계형 데이터베이스의 데이터를 자동으로 매핑해 주는 기술	JPA 에서 orderRepository.save(order) 한 줄이 INSERT 문으로 바뀐다.	2-5 데이터 저장소 · ORM · 트랜잭션 인터페이스 (2과목)	유형_약어 과목2
JDBC	Java Database Connectivity	자바에서 데이터베이스에 접속하기 위한 표준 API	Connection conn = DriverManager.getConnection(url) 로 DB에 붙는다.	2-5 데이터 저장소 · ORM · 트랜잭션 인터페이스 (2과목)	유형_약어 과목2
JPA	Java Persistence API	자바의 ORM 표준 명세	자바 표준 명세 — 실제 동작은 Hibernate 같은 구현체가 한다.	2-5 데이터 저장소 · ORM · 트랜잭션 인터페이스 (2과목)	유형_약어 과목2
ODBC	Open Database Connectivity	언어와 DBMS에 독립적인 데이터베이스 접속 표준 API	엑셀에서 ODBC 드라이버로 오라클과 MSSQL 을 똑같은 방식으로 연결한다.	2-5 데이터 저장소 · ORM · 트랜잭션 인터페이스 (2과목)	유형_약어 과목2
IPC	Inter-Process Communication	모듈 간 통신을 위해 프로세스 사이에 데이터를 주고받는 방식	nginx 와 uwsgi 가 유닉스 소켓으로, 웹서버 워커들이 공유 메모리로 통신한다.	2-7 단위 모듈 · 통합 구현 · 개발 지원 도구 (2과목)	유형_약어 과목2
